Identifier,Title,Description,Labels,Priority,Estimate,Parent
LF-S2.4,Build GTM Content Workflow E2E,"Choreograph brand→marketing→blog→media flow.\nAcceptance:\n- Single command runs E2E with fixtures\n- Success criteria defined (quality/cost/latency)","story,orchestration,gtm,langchain",High,5,LF-EP2
LF-S2.5,Build Security Compliance Workflow E2E,"Choreograph compliance mapper→ssp→sar with checks.\nAcceptance:\n- E2E run with sample inputs\n- Output compliance assertions pass","story,orchestration,security,langchain",High,5,LF-EP2
LF-S2.6,Tool abstraction layer (HTTP file + search),"Define common Python interfaces for tools and register as LangChain tools.\nAcceptance:\n- Interfaces documented and unit-tested\n- Retry/timeout config knobs exposed","story,orchestration,tools,python-only",Medium,3,LF-EP2
LF-S2.7,Resilience: retries + timeouts + idempotency,"Add circuit breakers and idempotent operations in flows.\nAcceptance:\n- Backoff and budget caps documented\n- Idempotent replay of a flow segment verified","story,orchestration,reliability",Medium,3,LF-EP2
LF-S3.1,Validate and enrich all url-manifest files,"Ensure schema compliance, scope, stability, and notes per source.\nAcceptance:\n- 100% pass against TEMPLATES/url-manifest.schema.json\n- Each source has scope and stability","story,grounding,manifests",High,3,LF-EP3
LF-S3.2,De-duplicate sources and central catalog,"Create a shared catalog and link agents to it.\nAcceptance:\n- Duplicates resolved; shared items referenced\n- Catalog documented","story,grounding,manifests",Medium,3,LF-EP3
LF-S3.3,Define update cadence and verification,"Set review frequency and verification steps.\nAcceptance:\n- Playbook in docs\n- Owners acknowledged schedule","story,process,grounding",Low,2,LF-EP3
LF-S3.4,Finalize tag taxonomy from architecture doc,"Align tag sets to Architecture classifications.\nAcceptance:\n- scripts/assign_tags_from_architecture.py updated\n- Registry reflects finalized tags","story,taxonomy,grounding",Medium,2,LF-EP3
LF-S4.1,Provider/model matrix and tag-based overrides,"Define defaults per tag (e.g., security vs gtm).\nAcceptance:\n- Matrix documented; applied via agent.config.json\n- Registry shows resolved defaults","story,runtime,models,providers",High,3,LF-EP4
LF-S4.2,Environment profiles (dev/stage/prod),"Parameterize model settings per environment.\nAcceptance:\n- Profile files documented; local switching supported\n- Smoke run for each profile","story,runtime,environments,python-only",Medium,3,LF-EP4
LF-S4.3,Cost guardrails and token budgets,"Add per-agent/token budget caps and alerts.\nAcceptance:\n- Budgets enforced in orchestration runs\n- Budget breaches logged with summary","story,cost,governance",Medium,2,LF-EP4
LF-S4.4,Fallback/abandonment strategy,"Define provider fallback and safe abort states.\nAcceptance:\n- Playbook + implementation hooks\n- Tests cover fallback paths","story,reliability,providers",Medium,3,LF-EP4
LF-S5.1,Structured logging and trace IDs,"Introduce per-run correlation IDs and structured logs.\nAcceptance:\n- Logs include timing, cost, decisions\n- Log sampling configured","story,observability,logging",Medium,2,LF-EP5
LF-S5.2,Minimal evaluation suite,"Create accuracy/cost/latency metrics and dashboard summary.\nAcceptance:\n- Local runner generates report\n- Baselines set for 5 key agents","story,qa,evals,observability",High,3,LF-EP5
LF-S5.3,Prompt drift detection,"Detect changes in outputs vs baselines.\nAcceptance:\n- Alerts on significant deviations\n- Document triage process","story,qa,evals",Medium,3,LF-EP5
LF-S5.4,Local smoke test runner,"Run subset of workflows with fixtures.\nAcceptance:\n- Single command run; non-flaky\n- Pass/fail gate defined","story,qa,tooling,python-only",Medium,2,LF-EP5
LF-S6.1,PII redaction middleware,"Apply PII handling in regulated flows.\nAcceptance:\n- Redaction rules tested\n- Documented limitations","story,security,privacy",High,3,LF-EP6
LF-S6.2,Output compliance checks,"Add regulated-output checks (e.g., SSP/SAR).\nAcceptance:\n- Checks documented and tested\n- Failures are actionable","story,compliance,security",High,3,LF-EP6
LF-S6.3,Secrets and tool access controls,"Centralize secret handling and restrict tool scopes.\nAcceptance:\n- Least-privilege policy documented\n- Secret rotation playbook","story,security,governance",Medium,3,LF-EP6
LF-S6.4,Security test scenarios,"Author test scenarios for threat intel and incident flows.\nAcceptance:\n- Adversarial tests pass\n- Coverage documented","story,security,qa",Medium,3,LF-EP6
LF-S7.1,Per-agent README population,"Fill purpose, inputs, outputs, owners for all agents.\nAcceptance:\n- README.md exists and complete per agent\n- Links to manifests and prompts","story,docs,enablement",Medium,3,LF-EP7
LF-S7.2,Contribution guidelines and coding standards,"Python-only standards (lint, type, style) and folder conventions.\nAcceptance:\n- CONTRIBUTING notes added\n- Examples provided","story,docs,python-only",Medium,2,LF-EP7
LF-S7.3,Workflow runbooks,"Runbooks for GTM and Security workflows.\nAcceptance:\n- Prereqs, steps, troubleshooting\n- Success metrics listed","story,docs,runbooks",Medium,2,LF-EP7
LF-S7.4,Linear labels and project setup,"Create labels matching taxonomy and epics.\nAcceptance:\n- Labels exist: langchain, semantic-kernel, python-only, security, gtm, etc.\n- Board views saved","story,project-management,docs",Low,1,LF-EP7
